name,slug,value,date_of_information,ranking,region
"Luxembourg","luxembourg","$132,800","2023",1,"Europe"
"Singapore","singapore","$127,500","2023",2,"East and Southeast Asia"
"Qatar","qatar","$116,200","2023",3,"Middle East"
"Monaco","monaco","$115,700","2015",4,"Europe"
"Ireland","ireland","$114,900","2023",5,"Europe"
"Macau","macau","$105,000","2023",6,"East and Southeast Asia"
"Bermuda","bermuda","$98,000","2023",7,"North America"
"Norway","norway","$90,500","2023",8,"Europe"
"Isle of Man","isle-of-man","$84,600","2014",9,"Europe"
"Switzerland","switzerland","$82,600","2023",10,"Europe"
"Cayman Islands","cayman-islands","$78,100","2023",11,"Central America and the Caribbean"
"Brunei","brunei","$76,800","2023",12,"East and Southeast Asia"
"United States","united-states","$74,600","2023",13,"North America"
"Denmark","denmark","$72,100","2023",14,"Europe"
"Netherlands","netherlands","$71,400","2023",15,"Europe"
"San Marino","san-marino","$70,900","2022",16,"Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015",17,"South America"
"Faroe Islands","faroe-islands","$70,400","2023",18,"Europe"
"United Arab Emirates","united-arab-emirates","$68,600","2023",19,"Middle East"
"Greenland","greenland","$68,100","2021",20,"North America"
"Iceland","iceland","$67,300","2023",21,"Europe"
"Austria","austria","$65,000","2023",22,"Europe"
"Andorra","andorra","$64,600","2023",23,"Europe"
"Hong Kong","hong-kong","$64,500","2023",24,"East and Southeast Asia"
"Belgium","belgium","$64,200","2023",25,"Europe"
"Germany","germany","$63,600","2023",26,"Europe"
"Sweden","sweden","$63,100","2023",27,"Europe"
"Gibraltar","gibraltar","$61,700","2014",28,"Europe"
"Malta","malta","$61,100","2023",29,"Europe"
"Australia","australia","$59,600","2023",30,"Australia and Oceania"
"Bahrain","bahrain","$57,200","2023",31,"Middle East"
"Finland","finland","$57,100","2023",32,"Europe"
"Jersey","jersey","$56,600","2016",33,"Europe"
"Canada","canada","$55,900","2023",34,"North America"
"France","france","$55,400","2023",35,"Europe"
"Saudi Arabia","saudi-arabia","$55,100","2023",36,"Middle East"
"United Kingdom","united-kingdom","$54,500","2023",37,"Europe"
"Cyprus","cyprus","$53,400","2023",38,"Europe"
"Italy","italy","$53,300","2023",39,"Europe"
"Guernsey","guernsey","$52,500","2014",40,"Europe"
"Korea, South","korea-south","$50,600","2023",41,"East and Southeast Asia"
"Czechia","czechia","$49,700","2023",42,"Europe"
"Guyana","guyana","$49,300","2023",43,"South America"
"New Zealand","new-zealand","$48,800","2023",44,"Australia and Oceania"
"Israel","israel","$48,400","2023",45,"Middle East"
"Slovenia","slovenia","$48,200","2023",46,"Europe"
"Taiwan","taiwan","$47,800","2019",47,"East and Southeast Asia"
"Spain","spain","$47,100","2023",48,"Europe"
"Lithuania","lithuania","$46,700","2023",49,"Europe"
"Kuwait","kuwait","$46,500","2023",50,"Middle East"
"Virgin Islands","virgin-islands","$46,500","2022",51,"Central America and the Caribbean"
"Japan","japan","$46,200","2023",52,"East and Southeast Asia"
"Sint Maarten","sint-maarten","$44,900","2023",53,"Central America and the Caribbean"
"Poland","poland","$44,400","2023",54,"Europe"
"Puerto Rico","puerto-rico","$43,000","2023",55,"Central America and the Caribbean"
"Estonia","estonia","$42,500","2023",56,"Europe"
